IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
13.37.165.175,2053,80,FALSE,CDG,Europe,Paris,201,50
13.48.140.41,2087,80,FALSE,ARN,Europe,Stockholm,202,50
15.161.40.69,2082,80,FALSE,MXP,Europe,Milan,202,50
54.251.118.130,2086,80,FALSE,SIN,Asia Pacific,Singapore,202,50
163.123.174.253,2082,80,FALSE,PDX,North America,Portland,202,50
163.123.174.16,2087,80,FALSE,PDX,North America,Portland,202,50
13.49.119.167,2052,80,FALSE,ARN,Europe,Stockholm,203,50
163.123.174.51,2086,80,FALSE,PDX,North America,Portland,203,50
163.123.174.205,2096,80,FALSE,PDX,North America,Portland,203,50
163.123.174.249,2053,80,FALSE,PDX,North America,Portland,203,50
163.123.174.23,2082,80,FALSE,PDX,North America,Portland,203,50
54.245.43.56,443,443,TRUE,SJC,North America,San Jose,203,50
163.123.174.59,2087,80,FALSE,PDX,North America,Portland,203,50
163.123.174.219,2095,80,FALSE,PDX,North America,Portland,203,50
15.160.19.149,2053,80,FALSE,MXP,Europe,Milan,203,50
